frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label,sign,dynamic
431,10.0,28.0,34.0,26.0,25.0,2.0,2.0,
432,10.0,28.0,34.0,26.0,25.0,2.0,2.0,
433,10.0,28.0,33.0,26.0,24.0,2.0,2.0,
434,10.0,28.0,34.0,26.0,25.0,2.0,2.0,
435,10.0,28.0,33.0,25.0,23.0,2.0,2.0,
436,10.0,28.0,34.0,26.0,24.0,2.0,2.0,
485,65.0,30.0,127.0,131.0,114.0,3.0,3.0,
486,65.0,30.0,127.0,131.0,115.0,3.0,3.0,
487,66.0,30.0,128.0,132.0,115.0,3.0,3.0,
488,66.0,30.0,128.0,132.0,115.0,3.0,3.0,
489,66.0,30.0,128.0,131.0,114.0,3.0,3.0,
490,66.0,30.0,127.0,131.0,114.0,3.0,3.0,
491,65.0,30.0,128.0,131.0,115.0,3.0,3.0,
492,66.0,30.0,127.0,131.0,115.0,3.0,3.0,
493,65.0,31.0,126.0,130.0,114.0,3.0,3.0,
494,65.0,30.0,126.0,131.0,114.0,3.0,3.0,
495,66.0,31.0,127.0,131.0,114.0,3.0,3.0,
496,66.0,30.0,126.0,131.0,114.0,3.0,3.0,
497,67.0,32.0,127.0,131.0,114.0,3.0,3.0,
498,65.0,30.0,126.0,130.0,114.0,3.0,3.0,
499,67.0,31.0,126.0,130.0,114.0,3.0,3.0,
500,65.0,30.0,125.0,130.0,113.0,3.0,3.0,
501,67.0,31.0,126.0,131.0,114.0,3.0,3.0,
502,65.0,30.0,126.0,130.0,114.0,3.0,3.0,
503,65.0,31.0,126.0,130.0,114.0,3.0,3.0,
504,64.0,30.0,126.0,130.0,113.0,3.0,3.0,
505,66.0,30.0,127.0,131.0,114.0,3.0,3.0,
506,64.0,30.0,127.0,131.0,115.0,3.0,3.0,
507,66.0,30.0,127.0,131.0,115.0,3.0,3.0,
508,64.0,31.0,127.0,131.0,115.0,3.0,3.0,
509,65.0,30.0,126.0,131.0,114.0,3.0,3.0,
510,65.0,30.0,126.0,131.0,114.0,3.0,3.0,
511,64.0,30.0,127.0,130.0,114.0,3.0,3.0,
512,63.0,30.0,127.0,131.0,114.0,3.0,3.0,
513,64.0,30.0,127.0,131.0,115.0,3.0,3.0,
514,64.0,31.0,128.0,131.0,115.0,3.0,3.0,
515,64.0,31.0,127.0,131.0,115.0,3.0,3.0,
516,64.0,30.0,127.0,131.0,114.0,3.0,3.0,
517,65.0,30.0,127.0,132.0,115.0,3.0,3.0,
518,65.0,31.0,127.0,131.0,115.0,3.0,3.0,
519,66.0,30.0,127.0,132.0,115.0,3.0,3.0,
520,65.0,30.0,127.0,131.0,115.0,3.0,3.0,
521,64.0,30.0,127.0,132.0,115.0,3.0,3.0,
522,65.0,31.0,128.0,132.0,115.0,3.0,3.0,
523,65.0,30.0,127.0,132.0,115.0,3.0,3.0,
524,64.0,32.0,127.0,131.0,115.0,3.0,3.0,
525,66.0,30.0,127.0,132.0,115.0,3.0,3.0,
526,66.0,30.0,127.0,131.0,115.0,3.0,3.0,
527,65.0,31.0,127.0,132.0,115.0,3.0,3.0,
528,66.0,31.0,127.0,132.0,115.0,3.0,3.0,
529,66.0,30.0,128.0,132.0,115.0,3.0,3.0,
530,66.0,31.0,127.0,132.0,115.0,3.0,3.0,
531,67.0,30.0,128.0,132.0,115.0,3.0,3.0,
532,66.0,30.0,127.0,132.0,115.0,3.0,3.0,
577,68.0,30.0,126.0,132.0,115.0,4.0,4.0,1.0
578,66.0,29.0,126.0,131.0,115.0,4.0,4.0,1.0
579,67.0,29.0,127.0,132.0,115.0,4.0,4.0,1.0
580,67.0,28.0,126.0,131.0,115.0,4.0,4.0,1.0
581,69.0,29.0,129.0,133.0,116.0,4.0,4.0,1.0
582,67.0,26.0,128.0,134.0,116.0,4.0,4.0,1.0
583,63.0,28.0,130.0,135.0,117.0,4.0,4.0,1.0
584,63.0,25.0,129.0,134.0,117.0,4.0,4.0,1.0
585,62.0,26.0,129.0,135.0,117.0,4.0,4.0,1.0
586,64.0,24.0,127.0,133.0,115.0,4.0,4.0,1.0
587,65.0,24.0,127.0,133.0,115.0,4.0,4.0,1.0
588,67.0,21.0,127.0,134.0,115.0,4.0,4.0,1.0
589,63.0,22.0,127.0,133.0,115.0,4.0,4.0,1.0
590,66.0,21.0,126.0,133.0,115.0,4.0,4.0,1.0
591,65.0,21.0,126.0,133.0,115.0,4.0,4.0,1.0
592,67.0,19.0,125.0,132.0,114.0,4.0,4.0,1.0
593,68.0,19.0,125.0,132.0,114.0,4.0,4.0,1.0
594,68.0,18.0,125.0,132.0,114.0,4.0,4.0,1.0
595,65.0,20.0,125.0,132.0,114.0,4.0,4.0,1.0
596,68.0,20.0,126.0,133.0,114.0,4.0,4.0,1.0
597,68.0,21.0,126.0,134.0,115.0,4.0,4.0,1.0
598,68.0,25.0,129.0,136.0,116.0,4.0,4.0,1.0
599,66.0,25.0,129.0,135.0,115.0,4.0,4.0,1.0
600,66.0,35.0,128.0,131.0,115.0,4.0,4.0,1.0
601,65.0,35.0,123.0,127.0,113.0,4.0,4.0,1.0
602,71.0,40.0,122.0,122.0,109.0,4.0,4.0,1.0
603,70.0,40.0,122.0,122.0,109.0,4.0,4.0,1.0
604,70.0,42.0,124.0,124.0,111.0,4.0,4.0,1.0
605,71.0,44.0,126.0,124.0,113.0,4.0,4.0,1.0
606,67.0,38.0,123.0,125.0,113.0,4.0,4.0,1.0
607,74.0,37.0,126.0,125.0,113.0,4.0,4.0,1.0
608,71.0,30.0,126.0,129.0,115.0,4.0,4.0,1.0
609,73.0,29.0,125.0,127.0,115.0,4.0,4.0,1.0
610,70.0,23.0,124.0,132.0,115.0,4.0,4.0,1.0
611,72.0,24.0,126.0,132.0,116.0,4.0,4.0,1.0
612,63.0,20.0,124.0,131.0,116.0,4.0,4.0,1.0
613,69.0,22.0,124.0,130.0,116.0,4.0,4.0,1.0
614,64.0,18.0,124.0,129.0,115.0,4.0,4.0,1.0
615,64.0,17.0,122.0,128.0,113.0,4.0,4.0,1.0
616,65.0,15.0,121.0,129.0,112.0,4.0,4.0,1.0
617,64.0,15.0,120.0,128.0,111.0,4.0,4.0,1.0
618,68.0,15.0,121.0,129.0,111.0,4.0,4.0,1.0
619,64.0,15.0,122.0,129.0,112.0,4.0,4.0,1.0
