frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label
335,26.0,10.0,1.0,7.0,3.0,1
336,26.0,10.0,1.0,7.0,4.0,1
337,26.0,10.0,1.0,7.0,3.0,1
338,26.0,10.0,1.0,7.0,3.0,1
339,26.0,10.0,1.0,7.0,3.0,1
340,26.0,10.0,1.0,7.0,3.0,1
341,26.0,10.0,1.0,7.0,4.0,1
342,26.0,10.0,1.0,7.0,3.0,1
343,26.0,10.0,1.0,7.0,3.0,1
344,26.0,10.0,2.0,7.0,3.0,1
345,26.0,10.0,1.0,7.0,3.0,1
346,26.0,10.0,1.0,7.0,4.0,1
347,26.0,10.0,2.0,7.0,3.0,1
348,26.0,10.0,1.0,7.0,3.0,
349,26.0,10.0,1.0,7.0,3.0,
350,26.0,10.0,1.0,7.0,3.0,
351,26.0,10.0,1.0,7.0,4.0,
352,26.0,10.0,2.0,7.0,3.0,
353,26.0,10.0,1.0,7.0,3.0,
354,26.0,10.0,1.0,7.0,3.0,
355,26.0,10.0,2.0,7.0,3.0,
356,26.0,10.0,1.0,7.0,3.0,
357,26.0,10.0,1.0,7.0,3.0,
358,26.0,10.0,1.0,7.0,3.0,
359,26.0,10.0,1.0,7.0,3.0,
360,26.0,11.0,2.0,7.0,3.0,
361,26.0,11.0,2.0,7.0,3.0,
362,26.0,10.0,1.0,7.0,3.0,
363,26.0,10.0,2.0,7.0,3.0,
364,26.0,11.0,2.0,7.0,3.0,
365,27.0,11.0,2.0,7.0,3.0,
366,26.0,10.0,2.0,7.0,3.0,
367,26.0,11.0,2.0,7.0,3.0,
368,27.0,11.0,2.0,7.0,3.0,
369,26.0,10.0,2.0,7.0,3.0,
370,26.0,10.0,2.0,7.0,3.0,
371,26.0,10.0,2.0,7.0,3.0,
372,26.0,10.0,2.0,7.0,3.0,
373,26.0,10.0,1.0,7.0,3.0,
374,26.0,10.0,2.0,7.0,3.0,
375,26.0,10.0,1.0,7.0,3.0,
376,26.0,10.0,1.0,7.0,3.0,
377,26.0,10.0,1.0,7.0,3.0,
378,26.0,10.0,1.0,7.0,3.0,
379,26.0,10.0,1.0,7.0,3.0,
380,26.0,10.0,2.0,7.0,3.0,
381,26.0,10.0,2.0,7.0,3.0,
382,26.0,10.0,2.0,7.0,3.0,
383,26.0,10.0,1.0,7.0,3.0,
384,17.0,29.0,28.0,19.0,23.0,
385,5.0,28.0,33.0,23.0,22.0,
386,12.0,32.0,34.0,23.0,22.0,
387,10.0,30.0,32.0,22.0,22.0,
388,9.0,30.0,32.0,24.0,25.0,
389,11.0,30.0,33.0,24.0,22.0,
390,11.0,30.0,34.0,24.0,23.0,
391,11.0,29.0,32.0,23.0,23.0,
392,12.0,30.0,33.0,24.0,22.0,2
393,11.0,30.0,34.0,23.0,23.0,2
394,12.0,30.0,33.0,23.0,22.0,2
395,13.0,31.0,34.0,24.0,22.0,2
396,12.0,30.0,34.0,24.0,22.0,2
397,11.0,30.0,34.0,24.0,23.0,2
398,12.0,30.0,34.0,24.0,23.0,2
399,12.0,30.0,34.0,25.0,24.0,2
400,11.0,29.0,35.0,25.0,25.0,2
401,11.0,29.0,34.0,26.0,24.0,2
402,11.0,29.0,34.0,26.0,25.0,2
403,11.0,29.0,34.0,26.0,25.0,2
404,11.0,29.0,35.0,26.0,25.0,2
405,10.0,29.0,34.0,26.0,25.0,2
406,11.0,29.0,34.0,26.0,25.0,2
407,9.0,28.0,34.0,27.0,26.0,2
408,10.0,28.0,33.0,26.0,24.0,2
409,11.0,28.0,34.0,27.0,25.0,2
410,11.0,29.0,35.0,27.0,26.0,2
411,10.0,28.0,35.0,27.0,25.0,2
412,10.0,28.0,35.0,27.0,26.0,2
413,9.0,29.0,35.0,27.0,27.0,2
414,10.0,28.0,34.0,27.0,26.0,2
415,10.0,28.0,35.0,27.0,26.0,2
416,10.0,28.0,35.0,27.0,26.0,2
417,11.0,28.0,34.0,27.0,25.0,2
418,10.0,28.0,34.0,26.0,24.0,2
419,10.0,28.0,34.0,26.0,25.0,2
420,10.0,28.0,34.0,26.0,25.0,2
421,10.0,28.0,33.0,26.0,24.0,2
422,11.0,28.0,34.0,25.0,25.0,2
423,10.0,28.0,34.0,26.0,26.0,2
424,10.0,28.0,34.0,26.0,25.0,2
425,10.0,28.0,34.0,26.0,25.0,2
426,11.0,29.0,34.0,26.0,25.0,2
427,11.0,28.0,34.0,26.0,26.0,2
428,10.0,29.0,34.0,26.0,25.0,2
429,11.0,28.0,34.0,27.0,26.0,2
430,10.0,29.0,34.0,26.0,25.0,2
431,10.0,28.0,34.0,26.0,25.0,2
432,10.0,28.0,34.0,26.0,25.0,2
433,10.0,28.0,33.0,26.0,24.0,2
434,10.0,28.0,34.0,26.0,25.0,2
435,10.0,28.0,33.0,25.0,23.0,2
436,10.0,28.0,34.0,26.0,24.0,2
437,9.0,27.0,32.0,25.0,23.0,
438,10.0,28.0,33.0,25.0,24.0,
439,9.0,27.0,33.0,25.0,24.0,
440,10.0,28.0,33.0,26.0,25.0,
441,10.0,27.0,34.0,26.0,25.0,
442,10.0,27.0,34.0,26.0,25.0,
443,10.0,28.0,34.0,26.0,24.0,
444,10.0,28.0,33.0,25.0,24.0,
445,10.0,28.0,33.0,26.0,24.0,
446,11.0,28.0,34.0,26.0,24.0,
447,10.0,28.0,35.0,26.0,26.0,
448,10.0,27.0,34.0,26.0,25.0,
449,11.0,28.0,33.0,26.0,24.0,
450,11.0,28.0,34.0,26.0,24.0,
451,11.0,28.0,35.0,26.0,26.0,
452,9.0,28.0,35.0,26.0,27.0,
453,10.0,27.0,33.0,26.0,24.0,
454,10.0,28.0,33.0,26.0,24.0,
455,10.0,28.0,33.0,26.0,24.0,
456,9.0,28.0,33.0,26.0,25.0,
457,11.0,28.0,32.0,25.0,24.0,
458,11.0,28.0,33.0,26.0,25.0,
459,11.0,28.0,32.0,25.0,24.0,
460,11.0,28.0,33.0,26.0,24.0,
461,12.0,27.0,32.0,25.0,24.0,
462,12.0,28.0,33.0,25.0,24.0,
463,13.0,27.0,33.0,26.0,24.0,
464,10.0,27.0,33.0,26.0,25.0,
465,12.0,28.0,33.0,25.0,25.0,
466,10.0,27.0,33.0,26.0,25.0,
467,10.0,27.0,33.0,26.0,24.0,
468,11.0,28.0,33.0,25.0,24.0,
469,11.0,28.0,33.0,25.0,24.0,
