frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,sign,sign_character,dynamic
411,10.0,28.0,35.0,27.0,25.0,2.0,AA,
412,10.0,28.0,35.0,27.0,26.0,2.0,AA,
413,9.0,29.0,35.0,27.0,27.0,2.0,AA,
414,10.0,28.0,34.0,27.0,26.0,2.0,AA,
415,10.0,28.0,35.0,27.0,26.0,2.0,AA,
416,10.0,28.0,35.0,27.0,26.0,2.0,AA,
417,11.0,28.0,34.0,27.0,25.0,2.0,AA,
418,10.0,28.0,34.0,26.0,24.0,2.0,AA,
419,10.0,28.0,34.0,26.0,25.0,2.0,AA,
420,10.0,28.0,34.0,26.0,25.0,2.0,AA,
421,10.0,28.0,33.0,26.0,24.0,2.0,AA,
422,11.0,28.0,34.0,25.0,25.0,2.0,AA,
423,10.0,28.0,34.0,26.0,26.0,2.0,AA,
424,10.0,28.0,34.0,26.0,25.0,2.0,AA,
425,10.0,28.0,34.0,26.0,25.0,2.0,AA,
426,11.0,29.0,34.0,26.0,25.0,2.0,AA,
427,11.0,28.0,34.0,26.0,26.0,2.0,AA,
428,10.0,29.0,34.0,26.0,25.0,2.0,AA,
429,11.0,28.0,34.0,27.0,26.0,2.0,AA,
430,10.0,29.0,34.0,26.0,25.0,2.0,AA,
431,10.0,28.0,34.0,26.0,25.0,2.0,AA,
432,10.0,28.0,34.0,26.0,25.0,2.0,AA,
433,10.0,28.0,33.0,26.0,24.0,2.0,AA,
434,10.0,28.0,34.0,26.0,25.0,2.0,AA,
435,10.0,28.0,33.0,25.0,23.0,2.0,AA,
436,10.0,28.0,34.0,26.0,24.0,2.0,AA,
437,9.0,27.0,32.0,25.0,23.0,2.0,AA,
438,10.0,28.0,33.0,25.0,24.0,2.0,AA,
439,9.0,27.0,33.0,25.0,24.0,2.0,AA,
440,10.0,28.0,33.0,26.0,25.0,2.0,AA,
441,10.0,27.0,34.0,26.0,25.0,2.0,AA,
442,10.0,27.0,34.0,26.0,25.0,2.0,AA,
443,10.0,28.0,34.0,26.0,24.0,2.0,AA,
444,10.0,28.0,33.0,25.0,24.0,2.0,AA,
445,10.0,28.0,33.0,26.0,24.0,2.0,AA,
446,11.0,28.0,34.0,26.0,24.0,2.0,AA,
447,10.0,28.0,35.0,26.0,26.0,2.0,AA,
448,10.0,27.0,34.0,26.0,25.0,2.0,AA,
449,11.0,28.0,33.0,26.0,24.0,2.0,AA,
479,64.0,31.0,128.0,133.0,115.0,3.0,AE,
480,62.0,31.0,126.0,132.0,114.0,3.0,AE,
481,64.0,32.0,124.0,130.0,113.0,3.0,AE,
482,65.0,32.0,125.0,131.0,114.0,3.0,AE,
483,66.0,31.0,126.0,131.0,114.0,3.0,AE,
484,66.0,30.0,127.0,131.0,114.0,3.0,AE,
485,65.0,30.0,127.0,131.0,114.0,3.0,AE,
486,65.0,30.0,127.0,131.0,115.0,3.0,AE,
487,66.0,30.0,128.0,132.0,115.0,3.0,AE,
488,66.0,30.0,128.0,132.0,115.0,3.0,AE,
489,66.0,30.0,128.0,131.0,114.0,3.0,AE,
490,66.0,30.0,127.0,131.0,114.0,3.0,AE,
491,65.0,30.0,128.0,131.0,115.0,3.0,AE,
492,66.0,30.0,127.0,131.0,115.0,3.0,AE,
493,65.0,31.0,126.0,130.0,114.0,3.0,AE,
494,65.0,30.0,126.0,131.0,114.0,3.0,AE,
495,66.0,31.0,127.0,131.0,114.0,3.0,AE,
496,66.0,30.0,126.0,131.0,114.0,3.0,AE,
497,67.0,32.0,127.0,131.0,114.0,3.0,AE,
498,65.0,30.0,126.0,130.0,114.0,3.0,AE,
499,67.0,31.0,126.0,130.0,114.0,3.0,AE,
500,65.0,30.0,125.0,130.0,113.0,3.0,AE,
501,67.0,31.0,126.0,131.0,114.0,3.0,AE,
502,65.0,30.0,126.0,130.0,114.0,3.0,AE,
503,65.0,31.0,126.0,130.0,114.0,3.0,AE,
504,64.0,30.0,126.0,130.0,113.0,3.0,AE,
505,66.0,30.0,127.0,131.0,114.0,3.0,AE,
506,64.0,30.0,127.0,131.0,115.0,3.0,AE,
507,66.0,30.0,127.0,131.0,115.0,3.0,AE,
508,64.0,31.0,127.0,131.0,115.0,3.0,AE,
509,65.0,30.0,126.0,131.0,114.0,3.0,AE,
510,65.0,30.0,126.0,131.0,114.0,3.0,AE,
511,64.0,30.0,127.0,130.0,114.0,3.0,AE,
512,63.0,30.0,127.0,131.0,114.0,3.0,AE,
513,64.0,30.0,127.0,131.0,115.0,3.0,AE,
514,64.0,31.0,128.0,131.0,115.0,3.0,AE,
515,64.0,31.0,127.0,131.0,115.0,3.0,AE,
516,64.0,30.0,127.0,131.0,114.0,3.0,AE,
517,65.0,30.0,127.0,132.0,115.0,3.0,AE,
518,65.0,31.0,127.0,131.0,115.0,3.0,AE,
519,66.0,30.0,127.0,132.0,115.0,3.0,AE,
520,65.0,30.0,127.0,131.0,115.0,3.0,AE,
521,64.0,30.0,127.0,132.0,115.0,3.0,AE,
522,65.0,31.0,128.0,132.0,115.0,3.0,AE,
523,65.0,30.0,127.0,132.0,115.0,3.0,AE,
524,64.0,32.0,127.0,131.0,115.0,3.0,AE,
525,66.0,30.0,127.0,132.0,115.0,3.0,AE,
526,66.0,30.0,127.0,131.0,115.0,3.0,AE,
